Member_number,Date,itemDescription
2120014706,01/01/2021,Beverage
2120014707,01/01/2021,Bread
2120014708,01/01/2021,Bread
2120014709,01/01/2021,Water
2120014709,01/01/2021,Milk
2120014710,01/01/2021,Paneer/Tofu/Khova
2120014711,01/01/2021,Egg
2120014712,01/01/2021,Sugar
2120014713,01/01/2021,Cleaning Products
2120014713,01/01/2021,Paneer/Tofu/Khova
2120014713,01/01/2021,Sugar
2120014714,01/01/2021,Instant Noodles/Pasta/Soup
2120014714,01/01/2021,Instant Noodles/Pasta/Soup
2120014715,01/01/2021,Vegetable
2120014715,01/01/2021,Cosmetics/Personal Hygiene
2120014715,01/01/2021,Bread
2120014715,01/01/2021,Milk
2120014716,01/01/2021,Paneer/Tofu/Khova
2120014717,01/01/2021,Ice cream
2120014718,01/01/2021,Tissues
2120014719,01/01/2021,ready to eat
2120014720,01/01/2021,Vegetable
2120014720,01/01/2021,Vegetable
2120014720,01/01/2021,Milk
2120014721,01/01/2021,Vegetable
2120014721,01/01/2021,Coffee
2120014721,01/01/2021,Idli/Dosa Batter
2120014722,01/01/2021,Water
2120014723,01/01/2021,Beverage
2120014723,01/01/2021,Beverage
2120014723,01/01/2021,Beverage
2120014724,01/01/2021,Beverage
2120014725,01/01/2021,Egg
2120014725,01/01/2021,Sauces/pastes/spread/pickle
2120014726,01/01/2021,Chocolate
2120014727,01/01/2021,Indian snacks
2120014728,01/01/2021,Maida flour
2120014728,01/01/2021,Beverage
2120014728,01/01/2021,Beverage
2120014729,01/01/2021,Milk
2120014729,01/01/2021,Curd
2120014729,01/01/2021,Other Groceries
2120014730,02/01/2021,Egg
2120014731,02/01/2021,Instant Noodles/Pasta/Soup
2120014732,02/01/2021,Water
2120014733,02/01/2021,Misc. Household
2120014733,02/01/2021,Idli/Dosa Batter
2120014734,02/01/2021,Seeds/Spices
2120014734,02/01/2021,Ready to eat
2120014734,02/01/2021,Seeds/Spices
2120014735,02/01/2021,Water
2120014735,02/01/2021,Rice
2120014735,02/01/2021,Vegetable
2120014735,02/01/2021,Vegetable
2120014736,02/01/2021,Beverage
2120014737,02/01/2021,Chocolate
2120014737,02/01/2021,Ice cream
2120014737,02/01/2021,Chips
2120014738,02/01/2021,Water
2120014739,02/01/2021,Seeds/Spices
2120014739,02/01/2021,Seeds/Spices
2120014740,02/01/2021,Cleaning Products
2120014741,02/01/2021,Vegetable
2120014741,02/01/2021,Egg
2120014741,02/01/2021,Milk
2120014741,02/01/2021,Bread
2120014742,02/01/2021,Cheese
2120014742,02/01/2021,Butter
2120014742,02/01/2021,Milk
2120014743,02/01/2021,Tissues
2120014743,02/01/2021,Pulses
2120014743,02/01/2021,Cosmetics/Personal Hygiene
2120014743,02/01/2021,Pulses
2120014744,02/01/2021,Milk
2120014744,02/01/2021,Milk
2120014745,02/01/2021,Vegetable
2120014745,02/01/2021,Cream
2120014745,02/01/2021,Instant Noodles/Pasta/Soup
2120014746,02/01/2021,Indian snacks
2120014747,02/01/2021,Egg
2120014747,02/01/2021,Paneer/Tofu/Khova
2120014748,02/01/2021,Pulses
2120014748,02/01/2021,Misc. Household
2120014748,02/01/2021,Misc. Household
2120014749,02/01/2021,Milk
2120014750,02/01/2021,Ice cream
2120014750,02/01/2021,Indian snacks
2120014751,02/01/2021,Beverage
2120014751,02/01/2021,Bread
2120014751,02/01/2021,Milk
2120014752,02/01/2021,Egg
2120014752,02/01/2021,Water
2120014753,02/01/2021,Bread
2120014753,02/01/2021,Sugar
2120014754,02/01/2021,Curd
2120014755,02/01/2021,Rice
2120014756,02/01/2021,Vegetable
2120014756,02/01/2021,Biscuits
2120014756,02/01/2021,Misc. Household
2120014756,02/01/2021,Misc. Household
2120014756,02/01/2021,Misc. Household
2120014756,02/01/2021,Bread
2120014756,02/01/2021,Biscuits
2120014757,03/01/2021,Water
2120014757,03/01/2021,Sugar
2120014757,03/01/2021,Curd
2120014757,03/01/2021,Milk
2120014758,03/01/2021,Bread
2120014759,03/01/2021,Idli/Dosa Batter
2120014759,03/01/2021,Milk
2120014759,03/01/2021,Curd
2120014760,03/01/2021,Curd
2120014760,03/01/2021,Ghee
2120014761,03/01/2021,Water
2120014762,03/01/2021,Paneer/Tofu/Khova
2120014762,03/01/2021,Egg
2120014762,03/01/2021,Biscuits
2120014762,03/01/2021,Bread
2120014763,03/01/2021,Cream
2120014763,03/01/2021,Misc. Household
2120014763,03/01/2021,Cooking Oil
2120014764,03/01/2021,Coffee
2120014764,03/01/2021,Curd
2120014765,03/01/2021,Vegetable
2120014765,03/01/2021,Vegetable
2120014766,03/01/2021,Instant Noodles/Pasta/Soup
2120014767,03/01/2021,Sauces/pastes/spread/pickle
2120014767,03/01/2021,Butter
2120014767,03/01/2021,Cream
2120014768,03/01/2021,Other Groceries
2120014768,03/01/2021,Curd
2120014769,03/01/2021,Other flours
2120014770,03/01/2021,Vegetable
2120014771,03/01/2021,Other Groceries
2120014772,03/01/2021,Egg
2120014773,03/01/2021,Cream
2120014773,03/01/2021,Seeds/Spices
2120014774,03/01/2021,Vegetable
2120014774,03/01/2021,Sauces/pastes/spread/pickle
2120014774,03/01/2021,Idli/Dosa Batter
2120014775,03/01/2021,Milk
2120014776,03/01/2021,Water
2120014776,03/01/2021,Beverage
2120014776,03/01/2021,Milk
2120014777,03/01/2021,Curd
2120014778,03/01/2021,Biscuits
2120014778,03/01/2021,Biscuits
2120014778,03/01/2021,Biscuits
2120014778,03/01/2021,Beverage
2120014779,03/01/2021,Wheat
2120014780,03/01/2021,Milk
2120014780,03/01/2021,Milk
2120014781,03/01/2021,Vegetable
2120014782,03/01/2021,Misc. Household
2120014782,03/01/2021,Cosmetics/Personal Hygiene
2120014783,03/01/2021,Water
2120014784,03/01/2021,Paneer/Tofu/Khova
2120014785,03/01/2021,Vegetable
2120014785,03/01/2021,Vegetable
2120014785,03/01/2021,Vegetable
2120014786,03/01/2021,Water
2120014787,03/01/2021,Cleaning Products
2120014787,03/01/2021,Milk
2120014787,03/01/2021,Jaggery
2120014787,03/01/2021,Beverage
2120014787,03/01/2021,Beverage
2120014787,03/01/2021,Milk
2120014787,03/01/2021,Milk
2120014788,03/01/2021,Other Groceries
2120014789,03/01/2021,Milk
2120014789,03/01/2021,Milk
2120014789,03/01/2021,Milk
2120014789,03/01/2021,Curd
2120014790,03/01/2021,Ghee
2120014791,04/01/2021,Egg
2120014791,04/01/2021,Water
2120014791,04/01/2021,Milk
2120014791,04/01/2021,Curd
2120014791,04/01/2021,Butter
2120014791,04/01/2021,Other Groceries
2120014792,04/01/2021,Egg
2120014793,04/01/2021,Coffee
2120014794,04/01/2021,Egg
2120014795,04/01/2021,Egg
2120014795,04/01/2021,Bread
2120014796,04/01/2021,Egg
2120014797,04/01/2021,Vegetable
2120014797,04/01/2021,Egg
2120014798,04/01/2021,Rice
2120014799,04/01/2021,Idli/Dosa Batter
2120014800,04/01/2021,Vegetable
2120014801,04/01/2021,Water
2120014802,04/01/2021,Vegetable
2120014802,04/01/2021,Cosmetics/Personal Hygiene
2120014803,04/01/2021,Water
2120014804,04/01/2021,Water
2120014804,04/01/2021,Bread
2120014805,04/01/2021,Biscuits
2120014806,04/01/2021,Chocolate
2120014806,04/01/2021,Bread
2120014806,04/01/2021,Ready to eat
2120014807,04/01/2021,Milk
2120014808,04/01/2021,Misc. Household
2120014809,04/01/2021,Biscuits
2120014809,04/01/2021,Bread
2120014809,04/01/2021,Idli/Dosa Batter
2120014810,04/01/2021,Chocolate
2120014811,04/01/2021,Seeds/Spices
2120014811,04/01/2021,Cake
2120014811,04/01/2021,Bread
2120014811,04/01/2021,Bread
2120014811,04/01/2021,Idli/Dosa Batter
2120014811,04/01/2021,Pulses
2120014812,04/01/2021,Sugar
2120014812,04/01/2021,Cooking Oil
2120014812,04/01/2021,Cooking Oil
2120014812,04/01/2021,Curd
2120014813,04/01/2021,Cooking Oil
2120014814,04/01/2021,Milk
2120014814,04/01/2021,Indian snacks
2120014814,04/01/2021,Poha
2120014815,04/01/2021,Milk
2120014816,04/01/2021,Vegetable
2120014816,04/01/2021,Vegetable
2120014816,04/01/2021,Curd
2120014817,04/01/2021,Sauces/pastes/spread/pickle
2120014817,04/01/2021,Water
2120014818,04/01/2021,Seeds/Spices
2120014818,04/01/2021,Vegetable
2120014818,04/01/2021,Vegetable
2120014818,04/01/2021,Cheese
2120014818,04/01/2021,Idli/Dosa Batter
2120014819,04/01/2021,Stationary
2120014820,04/01/2021,Egg
2120014821,05/01/2021,Idli/Dosa Batter
2120014821,05/01/2021,Milk
2120014822,05/01/2021,Curd
2120014823,05/01/2021,Vegetable
2120014823,05/01/2021,Yogurt
2120014823,05/01/2021,Yogurt
2120014823,05/01/2021,Yogurt
2120014824,05/01/2021,Egg
2120014824,05/01/2021,Bread
2120014825,05/01/2021,Dry fruits/nuts
2120014825,05/01/2021,Pulses
2120014825,05/01/2021,Wheat
2120014825,05/01/2021,Milk
2120014825,05/01/2021,Curd
2120014826,05/01/2021,Ghee
2120014827,05/01/2021,Poha
2120014828,05/01/2021,Ice cream
2120014829,05/01/2021,Butter
2120014830,05/01/2021,Egg
2120014830,05/01/2021,Water
2120014831,05/01/2021,Milk
2120014831,05/01/2021,Chocolate
2120014831,05/01/2021,Ready to eat
2120014831,05/01/2021,Curd
2120014832,05/01/2021,Other flours
2120014832,05/01/2021,Bread
2120014832,05/01/2021,Curd
2120014832,05/01/2021,Other Groceries
2120014833,05/01/2021,Water
2120014833,05/01/2021,Wheat
2120014833,05/01/2021,Milk
2120014834,05/01/2021,Beverage
2120014835,05/01/2021,Paneer/Tofu/Khova
2120014835,05/01/2021,Indian snacks
2120014835,05/01/2021,Indian snacks
2120014836,05/01/2021,Egg
2120014837,05/01/2021,Water
2120014838,05/01/2021,Dry fruits/nuts
2120014839,05/01/2021,Rice
2120014840,05/01/2021,Biscuits
2120014840,05/01/2021,Biscuits
2120014840,05/01/2021,Sauces/pastes/spread/pickle
2120014840,05/01/2021,Bread
2120014840,05/01/2021,Paneer/Tofu/Khova
2120014841,05/01/2021,Idli/Dosa Batter
2120014842.00,05/01/2021,Balance from previous month
2120014843,05/01/2021,Maida flour
2120014844,06/01/2021,Water
2120014844,06/01/2021,Bread
2120014844,06/01/2021,Curd
2120014845,06/01/2021,Balance from previous month
2120014845,06/01/2021,Tea
2120014845,06/01/2021,Sugar
2120014845,06/01/2021,Milk
2120014846,06/01/2021,Water
2120014846,06/01/2021,Water
2120014847,06/01/2021,Vegetable
2120014847,06/01/2021,Vegetable
2120014847,06/01/2021,Bread
2120014848,06/01/2021,Pulses
2120014849,06/01/2021,Egg
2120014849,06/01/2021,Other flours
2120014849,06/01/2021,Butter
2120014849,06/01/2021,Beverage
2120014850,06/01/2021,Bread
2120014851,06/01/2021,Vegetable
2120014851,06/01/2021,Vegetable
2120014851,06/01/2021,Vegetable
2120014851,06/01/2021,Vegetable
2120014852,06/01/2021,Milk
2120014852,06/01/2021,Water
2120014852,06/01/2021,Milk
2120014853,06/01/2021,Vegetable
2120014853,06/01/2021,Vegetable
2120014853,06/01/2021,Wheat
2120014854,06/01/2021,Seeds/Spices
2120014854,06/01/2021,Seeds/Spices
2120014855,06/01/2021,Poha
2120014856,06/01/2021,Vegetable
2120014856,06/01/2021,Vegetable
2120014857,06/01/2021,Egg
2120014858,06/01/2021,Vegetable
2120014858,06/01/2021,Vegetable
2120014858,06/01/2021,Vegetable
2120014858,06/01/2021,Egg
2120014859,06/01/2021,Vegetable
2120014859,06/01/2021,Vegetable
2120014859,06/01/2021,Egg
2120014859,06/01/2021,Beverage
2120014859,06/01/2021,Bread
2120014860,06/01/2021,Vegetable
2120014861,06/01/2021,Egg
2120014862,06/01/2021,Coffee
2120014862,06/01/2021,Bread
2120014862,06/01/2021,Paneer/Tofu/Khova
2120014863,06/01/2021,Vegetable
2120014863,06/01/2021,Dry fruits/nuts
2120014863,06/01/2021,Vegetable
2120014863,06/01/2021,Other Groceries
2120014863,06/01/2021,Sugar
2120014863,06/01/2021,Other Groceries
2120014864,06/01/2021,Vegetable
2120014864,06/01/2021,Vegetable
2120014864,06/01/2021,Egg
2120014864,06/01/2021,Vegetable
2120014865,06/01/2021,Butter
2120014866,06/01/2021,Biscuits
2120014867,06/01/2021,Milk
2120014867,06/01/2021,Egg
2120014867,06/01/2021,Milk
2120014868,06/01/2021,Cosmetics/Personal Hygiene
2120014869,06/01/2021,Cosmetics/Personal Hygiene
2120014870,06/01/2021,Ready to eat
2120014871,06/01/2021,Chocolate
2120014871,06/01/2021,Butter
2120014872,06/01/2021,Idli/Dosa Batter
2120014873,06/01/2021,Egg
2120014873,06/01/2021,Bread
2120014874.00,06/01/2021,Balance from previous month
2120014875,06/01/2021,Cleaning Products
2120014876,06/01/2021,Indian snacks
2120014876,06/01/2021,Pulses
2120014877,06/01/2021,Milk
2120014877,06/01/2021,Vegetable
2120014877,06/01/2021,Misc. Household
2120014877,06/01/2021,Milk
2120014877,06/01/2021,Indian snacks
2120014878,06/01/2021,Chocolate
2120014878,06/01/2021,Chocolate
2120014879,06/01/2021,Vegetable
2120014879,06/01/2021,Egg
2120014879,06/01/2021,Bread
2120014880,06/01/2021,Curd
2120014881,06/01/2021,Curd
2120014882,06/01/2021,Pulses
2120014882,06/01/2021,Sugar
2120014882,06/01/2021,Misc. Household
2120014882,06/01/2021,Cooking Oil
2120014882,06/01/2021,Wheat
2120014882,06/01/2021,Ghee
2120014882,06/01/2021,Sugar
2120014882,06/01/2021,Pulses
2120014882,06/01/2021,Pulses
2120014883,06/01/2021,Biscuits
2120014883,06/01/2021,Indian snacks
2120014883,06/01/2021,Water
2120014883,06/01/2021,Ready to eat
2120014883,06/01/2021,Curd
2120014884,06/01/2021,Cosmetics/Personal Hygiene
2120014884,06/01/2021,Cosmetics/Personal Hygiene
2120014884,06/01/2021,Cosmetics/Personal Hygiene
2120014885,06/01/2021,Egg
2120014885,06/01/2021,Bread
2120014886,06/01/2021,Seeds/Spices
2120014887,06/01/2021,Egg
2120014887,06/01/2021,Other flours
2120014887,06/01/2021,Salt
2120014887,06/01/2021,Cooking Oil
2120014887,06/01/2021,Pulses
2120014887,06/01/2021,Pulses
2120014888,06/01/2021,Instant Noodles/Pasta/Soup
2120014888,06/01/2021,Cheese
2120014888,06/01/2021,Bread
2120014889,06/01/2021,Water
2120014890,06/01/2021,Vegetable
2120014890,06/01/2021,Vegetable
2120014891,06/01/2021,Stationary
2120014891,06/01/2021,Wheat
2120014891,06/01/2021,Cooking Oil
2120014891,06/01/2021,Sugar
2120014891,06/01/2021,Ghee
2120014892,06/01/2021,Vegetable
2120014892,06/01/2021,Vegetable
2120014892,06/01/2021,Vegetable
2120014893,06/01/2021,Vegetable
2120014894,06/01/2021,Seeds/Spices
2120014895,06/01/2021,Instant Noodles/Pasta/Soup
2120014896,06/01/2021,Instant Noodles/Pasta/Soup
2120014896,06/01/2021,Bread
2120014897,06/01/2021,Medicine
2120014897,06/01/2021,Other Groceries
2120014898,07/01/2021,Curd
2120014899,07/01/2021,Cleaning Products
2120014900,07/01/2021,Wheat
2120014901,07/01/2021,Vegetable
2120014901,07/01/2021,Milk
2120014902,07/01/2021,Rice
2120014902,07/01/2021,Vegetable
2120014902,07/01/2021,Vegetable
2120014902,07/01/2021,Egg
2120014902,07/01/2021,Bread
2120014902,07/01/2021,Cooking Oil
2120014902,07/01/2021,Curd
